race,ethnicity,age_group,zip,city,total_patients,patients_screened,screening_rate,avg_risk_score,high_risk_count,moderate_risk_count,low_risk_count,high_risk_pct,total_referrals,completed_referrals,avg_completion_rate,housing_insecure_count,food_insecure_count,transport_barriers_count,unemployed_count,high_risk_no_services
black,nonhispanic,Adult,21202,Baltimore,22,22,100.0,3.4090909090909091,1,10,11,4.5,43,27,74.3,6,9,2,4,0
black,nonhispanic,Adult,21231,Baltimore,21,21,100.0,2.9047619047619048,0,8,13,0.0,23,13,82.1,5,12,3,2,0
black,nonhispanic,Adult,21251,Baltimore,19,19,100.0,2.4736842105263158,0,5,14,0.0,12,9,83.3,4,6,3,2,0
black,nonhispanic,Adult,21237,Baltimore,19,19,100.0,2.8421052631578947,1,5,13,5.3,21,14,83.3,6,8,1,2,0
black,nonhispanic,Adult,21230,Baltimore,17,17,100.0,3.0588235294117647,0,7,10,0.0,22,16,83.3,4,8,3,3,0
black,nonhispanic,Adult,21236,Baltimore,17,17,100.0,2.4117647058823529,0,4,13,0.0,17,13,78.7,3,9,3,2,0
black,nonhispanic,Adult,21226,Baltimore,17,17,100.0,3.8235294117647059,1,8,8,5.9,26,20,81.1,7,10,2,3,0
black,nonhispanic,Adult,21201,Baltimore,16,16,100.0,4.4375000000000000,2,8,6,12.5,37,27,79.6,6,9,5,5,0
black,nonhispanic,Adult,21210,Baltimore,16,16,100.0,2.3750000000000000,0,2,14,0.0,7,6,83.3,5,4,2,0,0
black,nonhispanic,Adult,21227,Baltimore,16,16,100.0,3.3125000000000000,1,4,11,6.3,23,13,78.9,5,9,2,2,0
black,nonhispanic,Adult,21225,Baltimore,16,16,100.0,4.0000000000000000,0,10,6,0.0,36,24,76.7,5,11,3,3,0
black,nonhispanic,Adult,21239,Baltimore,16,16,100.0,3.7500000000000000,1,6,9,6.3,26,17,74.3,9,6,0,4,0
black,nonhispanic,Adult,21216,Baltimore,15,15,100.0,4.2666666666666667,2,8,5,13.3,35,23,76.5,3,10,2,5,0
black,nonhispanic,Adult,21212,Baltimore,14,14,100.0,1.7857142857142857,0,2,12,0.0,6,5,91.7,3,2,1,3,0
black,nonhispanic,Adult,21214,Baltimore,14,14,100.0,2.6428571428571429,0,3,11,0.0,13,13,100.0,4,6,0,3,0
black,nonhispanic,Adult,21213,Baltimore,14,14,100.0,4.0000000000000000,3,5,6,21.4,20,12,77.6,7,6,3,3,0
black,nonhispanic,Adult,21234,Baltimore,14,14,100.0,2.5714285714285714,0,5,9,0.0,19,15,83.3,3,4,3,2,0
black,nonhispanic,Adult,21207,Baltimore,14,14,100.0,3.8571428571428571,1,6,7,7.1,25,20,85.0,4,6,5,3,0
white,nonhispanic,Adult,21227,Baltimore,14,14,100.0,2.5714285714285714,0,4,10,0.0,12,9,76.7,5,6,1,2,0
black,nonhispanic,Adult,21211,Baltimore,13,13,100.0,2.8461538461538462,0,3,10,0.0,15,13,86.1,3,6,3,1,0
black,nonhispanic,Adult,21215,Baltimore,13,13,100.0,3.7692307692307692,0,7,6,0.0,19,16,85.7,6,4,2,2,0
black,nonhispanic,Adult,21222,Baltimore,13,13,100.0,2.4615384615384615,0,5,8,0.0,15,10,70.0,4,3,1,2,0
white,nonhispanic,Adult,21217,Baltimore,13,13,100.0,3.3846153846153846,1,4,8,7.7,19,12,76.2,5,9,2,2,0
black,nonhispanic,Adult,21206,Baltimore,13,13,100.0,4.0000000000000000,1,8,4,7.7,22,15,73.5,4,8,2,2,0
white,nonhispanic,Adult,21206,Baltimore,12,12,100.0,3.1666666666666667,0,6,6,0.0,15,10,83.3,2,6,3,2,0
black,nonhispanic,Adult,21208,Baltimore,12,12,100.0,1.7500000000000000,0,1,11,0.0,6,4,66.7,1,2,1,2,0
black,nonhispanic,Adult,21205,Baltimore,12,12,100.0,4.1666666666666667,0,7,5,0.0,35,19,58.2,5,10,2,2,0
black,nonhispanic,Adult,21218,Baltimore,12,12,100.0,3.9166666666666667,0,8,4,0.0,28,21,86.4,7,5,0,3,0
white,nonhispanic,Adult,21207,Baltimore,11,11,100.0,2.9090909090909091,0,2,9,0.0,7,5,77.8,4,2,3,1,0
black,nonhispanic,Adult,21224,Baltimore,11,11,100.0,3.6363636363636364,0,5,6,0.0,17,9,58.3,5,5,2,2,0
black,nonhispanic,Adult,21223,Baltimore,11,11,100.0,4.0000000000000000,0,8,3,0.0,21,14,73.3,4,6,2,1,0
white,nonhispanic,Adult,21202,Baltimore,10,10,100.0,3.4000000000000000,1,4,5,10.0,15,12,82.5,2,6,2,2,0
black,nonhispanic,Senior (65+),21202,Baltimore,10,10,100.0,4.1000000000000000,0,8,2,0.0,19,10,72.9,2,6,2,2,0
white,nonhispanic,Adult,21251,Baltimore,10,10,100.0,2.3000000000000000,0,4,6,0.0,11,9,86.7,4,2,3,0,0
white,nonhispanic,Adult,21205,Baltimore,9,9,100.0,4.1111111111111111,2,4,3,22.2,21,16,77.1,5,4,0,3,0
white,nonhispanic,Adult,21211,Baltimore,9,9,100.0,2.5555555555555556,0,3,6,0.0,7,7,100.0,2,4,0,2,0
white,nonhispanic,Adult,21215,Baltimore,9,9,100.0,1.1111111111111111,0,0,9,0.0,2,2,100.0,0,0,1,0,0
black,nonhispanic,Pediatric,21216,Baltimore,8,8,100.0,3.8750000000000000,0,5,3,0.0,18,13,69.5,2,6,2,2,0
white,nonhispanic,Adult,21228,Baltimore,8,8,100.0,2.0000000000000000,1,1,6,12.5,4,3,100.0,1,2,0,1,0
white,nonhispanic,Adult,21208,Baltimore,8,8,100.0,1.6250000000000000,0,0,8,0.0,0,0,,3,2,1,0,0
black,nonhispanic,Pediatric,21227,Baltimore,8,8,100.0,3.3750000000000000,0,5,3,0.0,12,9,92.9,0,4,1,1,0
black,nonhispanic,Adult,21217,Baltimore,8,8,100.0,4.8750000000000000,0,7,1,0.0,23,16,87.5,5,5,0,4,0
white,nonhispanic,Adult,21226,Baltimore,8,8,100.0,3.6250000000000000,1,3,4,12.5,13,10,75.6,3,5,2,1,0
black,nonhispanic,Pediatric,21202,Baltimore,8,8,100.0,3.2500000000000000,0,4,4,0.0,14,11,79.2,3,6,1,0,0
white,nonhispanic,Adult,21223,Baltimore,8,8,100.0,4.1250000000000000,1,4,3,12.5,18,11,82.2,3,5,2,2,0
black,nonhispanic,Adult,21228,Baltimore,8,8,100.0,2.6250000000000000,0,3,5,0.0,6,4,72.2,1,3,0,2,0
black,nonhispanic,Pediatric,21210,Baltimore,8,8,100.0,1.5000000000000000,0,0,8,0.0,6,5,83.4,0,1,2,1,0
black,nonhispanic,Pediatric,21237,Baltimore,7,7,100.0,2.7142857142857143,0,2,5,0.0,9,9,100.0,1,1,1,2,0
black,nonhispanic,Senior (65+),21206,Baltimore,7,7,100.0,2.5714285714285714,0,2,5,0.0,9,5,83.4,2,2,1,1,0
black,nonhispanic,Adult,21229,Baltimore,7,7,100.0,4.0000000000000000,0,4,3,0.0,18,12,67.9,3,3,2,0,0
white,nonhispanic,Adult,21222,Baltimore,7,7,100.0,1.8571428571428571,0,2,5,0.0,3,2,75.0,0,1,0,2,0
white,nonhispanic,Adult,21229,Baltimore,7,7,100.0,2.7142857142857143,0,2,5,0.0,15,9,66.7,3,0,2,1,0
black,nonhispanic,Pediatric,21230,Baltimore,7,7,100.0,3.2857142857142857,0,3,4,0.0,9,4,77.8,3,1,2,1,0
white,nonhispanic,Adult,21230,Baltimore,7,7,100.0,2.7142857142857143,0,2,5,0.0,8,4,100.0,1,2,1,1,0
black,nonhispanic,Adult,21209,Baltimore,7,7,100.0,2.0000000000000000,0,2,5,0.0,4,4,100.0,1,4,0,0,0
black,nonhispanic,Senior (65+),21234,Baltimore,7,7,100.0,3.1428571428571429,0,4,3,0.0,10,7,77.8,1,3,1,2,0
white,nonhispanic,Adult,21234,Baltimore,7,7,100.0,2.7142857142857143,1,1,5,14.3,4,1,33.3,1,1,1,0,0
white,nonhispanic,Adult,21201,Baltimore,7,7,100.0,3.7142857142857143,0,5,2,0.0,15,13,88.3,3,4,1,2,0
white,nonhispanic,Adult,21236,Baltimore,7,7,100.0,1.4285714285714286,0,0,7,0.0,0,0,,1,0,0,1,0
white,nonhispanic,Adult,21213,Baltimore,6,6,100.0,3.8333333333333333,0,4,2,0.0,13,9,80.0,1,4,1,2,0
black,nonhispanic,Pediatric,21214,Baltimore,6,6,100.0,2.6666666666666667,0,2,4,0.0,6,5,88.9,2,3,2,0,0
black,nonhispanic,Pediatric,21201,Baltimore,6,6,100.0,3.5000000000000000,1,2,3,16.7,11,6,55.6,2,2,2,1,0
black,nonhispanic,Senior (65+),21211,Baltimore,6,6,100.0,3.3333333333333333,0,3,3,0.0,6,4,72.2,1,3,1,1,0
black,nonhispanic,Senior (65+),21222,Baltimore,6,6,100.0,2.5000000000000000,0,2,4,0.0,5,5,100.0,2,3,0,2,0
black,nonhispanic,Pediatric,21229,Baltimore,6,6,100.0,3.1666666666666667,0,3,3,0.0,14,8,61.7,3,3,1,0,0
white,nonhispanic,Adult,21239,Baltimore,6,6,100.0,1.00000000000000000000,0,0,6,0.0,0,0,,1,0,0,1,0
black,nonhispanic,Pediatric,21234,Baltimore,6,6,100.0,3.5000000000000000,1,1,4,16.7,11,5,77.8,1,2,1,1,0
white,nonhispanic,Adult,21214,Baltimore,6,6,100.0,1.6666666666666667,0,0,6,0.0,4,3,75.0,1,2,0,1,0
white,nonhispanic,Adult,21212,Baltimore,5,5,100.0,1.00000000000000000000,0,0,5,0.0,2,2,100.0,1,0,0,0,0
white,nonhispanic,Pediatric,21206,Baltimore,5,5,100.0,3.6000000000000000,0,3,2,0.0,7,6,100.0,2,3,0,0,0
white,nonhispanic,Pediatric,21210,Baltimore,5,5,100.0,1.6000000000000000,0,0,5,0.0,0,0,,1,2,2,0,0
white,nonhispanic,Adult,21224,Baltimore,5,5,100.0,2.2000000000000000,0,0,5,0.0,0,0,,0,2,0,2,0
