service_type,service_category,month,total_referrals,unique_patients,completed_referrals,pending_referrals,declined_referrals,completion_rate,avg_days_to_completion,min_days_to_completion,max_days_to_completion,follow_ups_scheduled,follow_up_rate,performance_status,timeline_status
Housing Support,Basic Needs,2026-04-01,11,11,6,5,0,54.5,43.5,28,71,4,66.7,Below Target,Standard
Mental Health Support,Health & Wellness,2026-04-01,10,10,7,1,1,70.0,46.9,9,82,5,71.4,Meets Target,Standard
Financial Counseling,Economic Stability,2026-04-01,9,8,4,1,2,44.4,37.3,8,88,2,50.0,Below Target,Standard
Employment Services,Economic Stability,2026-04-01,8,7,6,0,0,75.0,51.2,21,74,4,66.7,Meets Target,Standard
Legal Aid,Safety & Legal,2026-04-01,7,7,5,2,0,71.4,39.8,16,73,3,60.0,Meets Target,Standard
Food Assistance,Basic Needs,2026-04-01,6,6,6,0,0,100.0,39.0,19,61,4,66.7,Exceeds Target,Standard
Transportation Vouchers,Transportation,2026-04-01,4,4,1,1,0,25.0,10.0,10,10,0,0.0,Below Target,Fast
Utility Assistance,Basic Needs,2026-04-01,3,3,3,0,0,100.0,47.0,14,82,3,100.0,Exceeds Target,Standard
Care Coordination,Care Management,2026-04-01,2,2,1,1,0,50.0,78.0,78,78,0,0.0,Below Target,Needs Improvement
Housing Support,Basic Needs,2026-03-01,19,19,18,0,0,94.7,42.9,8,83,11,61.1,Exceeds Target,Standard
Food Assistance,Basic Needs,2026-03-01,18,18,9,5,2,50.0,52.2,10,89,7,77.8,Below Target,Standard
Legal Aid,Safety & Legal,2026-03-01,16,16,11,3,1,68.8,49.0,8,83,4,36.4,Meets Target,Standard
Financial Counseling,Economic Stability,2026-03-01,11,11,7,3,0,63.6,49.9,26,81,3,42.9,Meets Target,Standard
Employment Services,Economic Stability,2026-03-01,10,10,6,3,1,60.0,47.5,24,84,5,83.3,Meets Target,Standard
Mental Health Support,Health & Wellness,2026-03-01,9,9,6,2,0,66.7,42.2,8,84,4,66.7,Meets Target,Standard
Utility Assistance,Basic Needs,2026-03-01,3,3,3,0,0,100.0,63.3,42,83,3,100.0,Exceeds Target,Needs Improvement
Transportation Vouchers,Transportation,2026-03-01,3,3,3,0,0,100.0,64.0,25,90,3,100.0,Exceeds Target,Needs Improvement
Care Coordination,Care Management,2026-03-01,2,2,2,0,0,100.0,24.5,7,42,1,50.0,Exceeds Target,Fast
Housing Support,Basic Needs,2026-02-01,9,9,6,2,0,66.7,64.2,48,83,6,100.0,Meets Target,Needs Improvement
Legal Aid,Safety & Legal,2026-02-01,9,9,6,3,0,66.7,49.7,7,84,3,50.0,Meets Target,Standard
Financial Counseling,Economic Stability,2026-02-01,8,8,4,1,1,50.0,47.3,15,70,3,75.0,Below Target,Standard
